title,first_name,last_name
"AMELIE HELLFIGHTERS",ED,MANSFIELD
"AMELIE HELLFIGHTERS",EWAN,GOODING
"AMELIE HELLFIGHTERS",IAN,TANDY
"AMELIE HELLFIGHTERS",LAURA,BRODY
"AMERICAN CIRCUS",KEVIN,BLOOM
"AMERICAN CIRCUS",RIP,CRAWFORD
"AMERICAN CIRCUS",SIDNEY,CROWE
"AMERICAN CIRCUS",WARREN,JACKMAN
"AMERICAN CIRCUS",FRANCES,TOMEI
"AMISTAD MIDSUMMER",CARY,MCCONAUGHEY
"AMISTAD MIDSUMMER",DARYL,WAHLBERG
"AMISTAD MIDSUMMER",SALMA,NOLTE
"AMISTAD MIDSUMMER",SCARLETT,BENING
"ANACONDA CONFESSIONS",PENELOPE,GUINESS
"ANACONDA CONFESSIONS",JENNIFER,DAVIS
"ANACONDA CONFESSIONS",ELVIS,MARX
"ANACONDA CONFESSIONS",JAYNE,NOLTE
"ANACONDA CONFESSIONS",HUMPHREY,WILLIS
"ANALYZE HOOSIERS",TOM,MCKELLEN
"ANALYZE HOOSIERS",TOM,MIRANDA
"ANALYZE HOOSIERS",JESSICA,BAILEY
"ANALYZE HOOSIERS",GRETA,MALDEN
"ANALYZE HOOSIERS",ED,GUINESS
"ANGELS LIFE",PENELOPE,GUINESS
"ANGELS LIFE",JENNIFER,DAVIS
"ANGELS LIFE",GRACE,MOSTEL
"ANGELS LIFE",JULIA,BARRYMORE
"ANGELS LIFE",CHRISTOPHER,BERRY
"ANGELS LIFE",ED,MANSFIELD
"ANGELS LIFE",NICK,DEGENERES
"ANGELS LIFE",LAURENCE,BULLOCK
"ANGELS LIFE",RENEE,BALL
"ANNIE IDENTITY",ADAM,GRANT
"ANNIE IDENTITY",CATE,MCQUEEN
"ANNIE IDENTITY",GRETA,KEITEL
"ANONYMOUS HUMAN",GRACE,MOSTEL
"ANONYMOUS HUMAN",FAY,KILMER
"ANONYMOUS HUMAN",JIM,MOSTEL
"ANONYMOUS HUMAN",SUSAN,DAVIS
"ANONYMOUS HUMAN",WHOOPI,HURT
"ANONYMOUS HUMAN",EMILY,DEE
"ANONYMOUS HUMAN",MERYL,GIBSON
"ANONYMOUS HUMAN",MENA,HOPPER
"ANONYMOUS HUMAN",ED,GUINESS
"ANTHEM LUKE",MILLA,KEITEL
"ANTHEM LUKE",OPRAH,KILMER
"ANTITRUST TOMATOES",BETTE,NICHOLSON
"ANTITRUST TOMATOES",UMA,WOOD
"ANTITRUST TOMATOES",SIDNEY,CROWE
"ANTITRUST TOMATOES",SALMA,NOLTE
"ANTITRUST TOMATOES",WILLIAM,HACKMAN
"ANTITRUST TOMATOES",RENEE,BALL
"ANTITRUST TOMATOES",REESE,WEST
"ANYTHING SAVANNAH",JOE,SWANK
"ANYTHING SAVANNAH",CHRISTOPHER,WEST
"ANYTHING SAVANNAH",LISA,MONROE
"APACHE DIVINE",NICK,WAHLBERG
"APACHE DIVINE",CUBA,OLIVIER
"APACHE DIVINE",ANNE,CRONYN
"APACHE DIVINE",HENRY,BERRY
"APOCALYPSE FLAMINGOS",MAE,HOFFMAN
"APOCALYPSE FLAMINGOS",VIVIEN,BASINGER
"APOCALYPSE FLAMINGOS",OPRAH,KILMER
"APOCALYPSE FLAMINGOS",WILL,WILSON
"APOCALYPSE FLAMINGOS",RUSSELL,CLOSE
"APOLLO TEEN",MAE,HOFFMAN
"APOLLO TEEN",WOODY,JOLIE
"APOLLO TEEN",ED,MANSFIELD
"APOLLO TEEN",ALBERT,JOHANSSON
"APOLLO TEEN",OPRAH,KILMER
"APOLLO TEEN",MENA,HOPPER
"APOLLO TEEN",JEFF,SILVERSTONE
"APOLLO TEEN",DEBBIE,AKROYD
"ARABIA DOGMA",KARL,BERRY
"ARABIA DOGMA",RIP,CRAWFORD
"ARABIA DOGMA",JULIA,MCQUEEN
"ARABIA DOGMA",JOHNNY,CAGE
"ARABIA DOGMA",JUDE,CRUISE
"ARABIA DOGMA",SEAN,WILLIAMS
"ARABIA DOGMA",BURT,POSEY
"ARABIA DOGMA",WALTER,TORN
"ARABIA DOGMA",RUSSELL,BACALL
"ARABIA DOGMA",FRANCES,TOMEI
"ARABIA DOGMA",GRETA,MALDEN
"ARABIA DOGMA",LISA,MONROE
"ARACHNOPHOBIA ROLLERCOASTER",GRACE,MOSTEL
"ARACHNOPHOBIA ROLLERCOASTER",JUDY,DEAN
"ARACHNOPHOBIA ROLLERCOASTER",DARYL,WAHLBERG
"ARACHNOPHOBIA ROLLERCOASTER",MORGAN,HOPKINS
"ARACHNOPHOBIA ROLLERCOASTER",CUBA,ALLEN
"ARACHNOPHOBIA ROLLERCOASTER",RITA,REYNOLDS
"ARACHNOPHOBIA ROLLERCOASTER",EWAN,GOODING
"ARACHNOPHOBIA ROLLERCOASTER",HUMPHREY,GARLAND
"ARGONAUTS TOWN",JULIA,BARRYMORE
"ARGONAUTS TOWN",GARY,PENN
"ARGONAUTS TOWN",GENE,WILLIS
"ARGONAUTS TOWN",DAN,STREEP
"ARGONAUTS TOWN",KEVIN,GARLAND
"ARIZONA BANG",KARL,BERRY
"ARIZONA BANG",RAY,JOHANSSON
"ARIZONA BANG",RUSSELL,BACALL
"ARIZONA BANG",GRETA,KEITEL
"ARK RIDGEMONT",PARKER,GOLDBERG
"ARK RIDGEMONT",NICK,DEGENERES
"ARK RIDGEMONT",AUDREY,BAILEY
"ARMAGEDDON LOST",ANGELA,HUDSON
"ARMAGEDDON LOST",JAMES,PITT
"ARMAGEDDON LOST",PENELOPE,CRONYN
"ARMAGEDDON LOST",CUBA,ALLEN
"ARMAGEDDON LOST",KIM,ALLEN
"ARMAGEDDON LOST",GENE,MCKELLEN
"ARMAGEDDON LOST",GREGORY,GOODING
"ARMY FLINTSTONES",ED,CHASE
"ARMY FLINTSTONES",CARY,MCCONAUGHEY
"ARMY FLINTSTONES",MAE,HOFFMAN
"ARMY FLINTSTONES",GENE,WILLIS
"ARMY FLINTSTONES",PENELOPE,CRONYN
"ARMY FLINTSTONES",MATTHEW,CARREY
"ARMY FLINTSTONES",RUSSELL,CLOSE
"ARSENIC INDEPENDENCE",CUBA,ALLEN
"ARSENIC INDEPENDENCE",RITA,REYNOLDS
"ARSENIC INDEPENDENCE",OPRAH,KILMER
"ARTIST COLDBLOODED",ED,CHASE
"ARTIST COLDBLOODED",SANDRA,KILMER
"ARTIST COLDBLOODED",KIRK,JOVOVICH
"ARTIST COLDBLOODED",JAYNE,NEESON
"ARTIST COLDBLOODED",SIDNEY,CROWE
"ARTIST COLDBLOODED",RENEE,TRACY
"ARTIST COLDBLOODED",MERYL,ALLEN
"ATLANTIS CAUSE",WOODY,HOFFMAN
"ATLANTIS CAUSE",AUDREY,OLIVIER
"ATLANTIS CAUSE",JULIANNE,DENCH
"ATLANTIS CAUSE",FRANCES,TOMEI
"ATLANTIS CAUSE",GRETA,KEITEL
"ATLANTIS CAUSE",CATE,HARRIS
"ATLANTIS CAUSE",CHRIS,DEPP
"ATLANTIS CAUSE",HARVEY,HOPE
"ATLANTIS CAUSE",CUBA,BIRCH
"ATTACKS HATE",DAN,TORN
"ATTACKS HATE",MILLA,KEITEL
"ATTACKS HATE",GROUCHO,DUNST
"ATTACKS HATE",BURT,TEMPLE
"ATTRACTION NEWTON",UMA,WOOD
"ATTRACTION NEWTON",RIP,WINSLET
"ATTRACTION NEWTON",GARY,PENN
"ATTRACTION NEWTON",CHRISTOPHER,WEST
"AUTUMN CROW",DUSTIN,TAUTOU
"AUTUMN CROW",ANGELA,HUDSON
"AUTUMN CROW",JAMES,PITT
"BABY HALL",NICK,WAHLBERG
"BABY HALL",MATTHEW,JOHANSSON
"BABY HALL",CHARLIZE,DENCH
"BABY HALL",DARYL,WAHLBERG
"BABY HALL",KEVIN,GARLAND
"BABY HALL",RIVER,DEAN
"BABY HALL",MINNIE,KILMER
"BABY HALL",VIVIEN,BASINGER
"BACKLASH UNDEFEATED",CHRISTIAN,AKROYD
"BACKLASH UNDEFEATED",SPENCER,PECK
"BACKLASH UNDEFEATED",CHRISTOPHER,BERRY
"BACKLASH UNDEFEATED",SYLVESTER,DERN
"BACKLASH UNDEFEATED",DAN,STREEP
"BACKLASH UNDEFEATED",KEVIN,GARLAND
"BACKLASH UNDEFEATED",JANE,JACKMAN
"BADMAN DAWN",BEN,WILLIS
"BADMAN DAWN",HARRISON,BALE
"BADMAN DAWN",CUBA,ALLEN
"BADMAN DAWN",WARREN,JACKMAN
"BADMAN DAWN",GRETA,KEITEL
"BADMAN DAWN",OLYMPIA,PFEIFFER
"BADMAN DAWN",ALAN,DREYFUSS
"BADMAN DAWN",THORA,TEMPLE
"BAKED CLEOPATRA",MICHELLE,MCCONAUGHEY
"BALLOON HOMEWARD",PARKER,GOLDBERG
"BALLOON HOMEWARD",MENA,TEMPLE
"BALLOON HOMEWARD",GARY,PENN
"BALLOON HOMEWARD",RICHARD,PENN
"BALLOON HOMEWARD",RENEE,BALL
"BALLOON HOMEWARD",ROCK,DUKAKIS
"BALLROOM MOCKINGBIRD",JUDY,DEAN
"BALLROOM MOCKINGBIRD",ADAM,GRANT
"BALLROOM MOCKINGBIRD",BEN,WILLIS
"BALLROOM MOCKINGBIRD",DARYL,WAHLBERG
"BALLROOM MOCKINGBIRD",HARRISON,BALE
"BALLROOM MOCKINGBIRD",LUCILLE,DEE
"BALLROOM MOCKINGBIRD",GENE,MCKELLEN
"BANG KWAI",BETTE,NICHOLSON
"BANG KWAI",SANDRA,PECK
"BANG KWAI",JULIA,BARRYMORE
"BANG KWAI",MICHELLE,MCCONAUGHEY
"BANG KWAI",WALTER,TORN
"BANG KWAI",RUSSELL,TEMPLE
"BANG KWAI",FAY,WOOD
"BANGER PINOCCHIO",JOHNNY,LOLLOBRIGIDA
"BANGER PINOCCHIO",LUCILLE,TRACY
"BANGER PINOCCHIO",DUSTIN,TAUTOU
"BANGER PINOCCHIO",JAYNE,NEESON
"BANGER PINOCCHIO",GENE,WILLIS
"BANGER PINOCCHIO",AUDREY,BAILEY
"BARBARELLA STREETCAR",MARY,TANDY
"BARBARELLA STREETCAR",CUBA,ALLEN
"BARBARELLA STREETCAR",NICK,DEGENERES
"BARBARELLA STREETCAR",ALAN,DREYFUSS
"BARBARELLA STREETCAR",GENE,MCKELLEN
"BAREFOOT MANCHURIAN",JENNIFER,DAVIS
"BAREFOOT MANCHURIAN",ELVIS,MARX
"BAREFOOT MANCHURIAN",MILLA,PECK
"BAREFOOT MANCHURIAN",KIRK,JOVOVICH
"BAREFOOT MANCHURIAN",DARYL,CRAWFORD
"BAREFOOT MANCHURIAN",ED,MANSFIELD
"BAREFOOT MANCHURIAN",MORGAN,WILLIAMS
"BAREFOOT MANCHURIAN",WILL,WILSON
"BASIC EASY",JESSICA,BAILEY
"BASIC EASY",PENELOPE,MONROE
"BASIC EASY",GRETA,KEITEL
"BASIC EASY",EWAN,GOODING
"BASIC EASY",EMILY,DEE
"BASIC EASY",GROUCHO,WILLIAMS
"BEACH HEARTBREAKERS",WOODY,HOFFMAN
"BEACH HEARTBREAKERS",NICK,STALLONE
"BEACH HEARTBREAKERS",MENA,TEMPLE
"BEACH HEARTBREAKERS",BEN,WILLIS
"BEACH HEARTBREAKERS",GENE,WILLIS
"BEACH HEARTBREAKERS",FRANCES,TOMEI
"BEACH HEARTBREAKERS",HARVEY,HOPE
"BEAR GRACELAND",SCARLETT,DAMON
"BEAR GRACELAND",PENELOPE,CRONYN
"BEAR GRACELAND",BEN,HARRIS
"BEAST HUNCHBACK",BETTE,NICHOLSON
"BEAST HUNCHBACK",JODIE,DEGENERES
"BEAST HUNCHBACK",ANGELINA,ASTAIRE
"BEAST HUNCHBACK",KENNETH,TORN
"BEAST HUNCHBACK",SUSAN,DAVIS
"BEAUTY GREASE",CAMERON,ZELLWEGER
"BEAUTY GREASE",ED,MANSFIELD
"BEAUTY GREASE",LUCILLE,DEE
"BEAUTY GREASE",NICK,DEGENERES
"BEAUTY GREASE",MICHAEL,BENING
"BED HIGHBALL",JENNIFER,DAVIS
"BED HIGHBALL",GINA,DEGENERES
"BED HIGHBALL",SUSAN,DAVIS
"BED HIGHBALL",ALBERT,NOLTE
"BED HIGHBALL",AUDREY,BAILEY
"BEDAZZLED MARRIED",LUCILLE,TRACY
"BEDAZZLED MARRIED",GARY,PHOENIX
"BEDAZZLED MARRIED",DAN,HARRIS
"BEDAZZLED MARRIED",PENELOPE,MONROE
"BEDAZZLED MARRIED",JAYNE,NOLTE
"BEDAZZLED MARRIED",LAURENCE,BULLOCK
"BEDAZZLED MARRIED",REESE,WEST
"BEETHOVEN EXORCIST",SANDRA,PECK
"BEETHOVEN EXORCIST",WARREN,JACKMAN
"BEETHOVEN EXORCIST",SCARLETT,BENING
"BEETHOVEN EXORCIST",MINNIE,KILMER
"BEETHOVEN EXORCIST",VIVIEN,BASINGER
"BEETHOVEN EXORCIST",BELA,WALKEN
"BEHAVIOR RUNAWAY",TIM,HACKMAN
"BEHAVIOR RUNAWAY",REESE,KILMER
"BEHAVIOR RUNAWAY",DARYL,WAHLBERG
"BEHAVIOR RUNAWAY",RITA,REYNOLDS
"BEHAVIOR RUNAWAY",ED,GUINESS
"BENEATH RUSH",REESE,KILMER
"BENEATH RUSH",ANGELINA,ASTAIRE
"BENEATH RUSH",GENE,WILLIS
"BENEATH RUSH",CHRIS,BRIDGES
"BENEATH RUSH",SUSAN,DAVIS
"BENEATH RUSH",JANE,JACKMAN
"BENEATH RUSH",VIVIEN,BASINGER
"BERETS AGENT",GRACE,MOSTEL
"BERETS AGENT",JULIA,BARRYMORE
"BERETS AGENT",JESSICA,BAILEY
"BERETS AGENT",JULIANNE,DENCH
"BERETS AGENT",CATE,HARRIS
"BERETS AGENT",ANGELA,WITHERSPOON
"BERETS AGENT",IAN,TANDY
"BERETS AGENT",WILLIAM,HACKMAN
"BERETS AGENT",MERYL,ALLEN
"BERETS AGENT",JULIA,FAWCETT
"BETRAYED REAR",CHRISTIAN,AKROYD
"BETRAYED REAR",ANGELINA,ASTAIRE
"BETRAYED REAR",MORGAN,MCDORMAND
"BETRAYED REAR",NICK,DEGENERES
"BEVERLY OUTLAW",SANDRA,PECK
"BEVERLY OUTLAW",JODIE,DEGENERES
"BEVERLY OUTLAW",RALPH,CRUZ
"BEVERLY OUTLAW",JOHN,SUVARI
"BIKINI BORROWERS",BETTE,NICHOLSON
"BIKINI BORROWERS",PENELOPE,CRONYN
"BILKO ANONYMOUS",GOLDIE,BRODY
"BILKO ANONYMOUS",ELLEN,PRESLEY
"BILKO ANONYMOUS",RUSSELL,CLOSE
"BILL OTHERS",DUSTIN,TAUTOU
"BILL OTHERS",MINNIE,ZELLWEGER
"BILL OTHERS",CHRIS,BRIDGES
"BILL OTHERS",RUSSELL,TEMPLE
"BILL OTHERS",AL,GARLAND
"BILL OTHERS",LAURENCE,BULLOCK
"BINGO TALENTED",GOLDIE,BRODY
"BINGO TALENTED",CAMERON,WRAY
"BINGO TALENTED",CARY,MCCONAUGHEY
"BINGO TALENTED",JON,CHASE
"BINGO TALENTED",RENEE,BALL
"BIRCH ANTITRUST",JOE,SWANK
"BIRCH ANTITRUST",WOODY,HOFFMAN
"BIRCH ANTITRUST",DARYL,WAHLBERG
"BIRCH ANTITRUST",EWAN,GOODING
"BIRCH ANTITRUST",ALAN,DREYFUSS
"BIRCH ANTITRUST",MATTHEW,CARREY
"BIRD INDEPENDENCE",FAY,KILMER
"BIRD INDEPENDENCE",JAYNE,NOLTE
"BIRDCAGE CASPER",KENNETH,PESCI
"BIRDCAGE CASPER",KENNETH,TORN
"BIRDCAGE CASPER",SALMA,NOLTE
"BIRDCAGE CASPER",RENEE,BALL
"BIRDS PERDITION",SANDRA,PECK
"BIRDS PERDITION",GARY,PENN
"BIRDS PERDITION",SYLVESTER,DERN
"BIRDS PERDITION",WHOOPI,HURT
"BLACKOUT PRIVATE",SANDRA,KILMER
"BLACKOUT PRIVATE",CARY,MCCONAUGHEY
"BLACKOUT PRIVATE",CAMERON,ZELLWEGER
"BLACKOUT PRIVATE",KENNETH,HOFFMAN
"BLACKOUT PRIVATE",MATTHEW,CARREY
"BLADE POLISH",JENNIFER,DAVIS
"BLADE POLISH",ALEC,WAYNE
"BLADE POLISH",KEVIN,GARLAND
"BLADE POLISH",RIVER,DEAN
"BLADE POLISH",ANGELA,WITHERSPOON
"BLANKET BEVERLY",FRED,COSTNER
"BLANKET BEVERLY",ALAN,DREYFUSS
"BLANKET BEVERLY",BURT,TEMPLE
"BLANKET BEVERLY",THORA,TEMPLE
"BLINDNESS GUN",BURT,DUKAKIS
"BLINDNESS GUN",CHRIS,BRIDGES
"BLINDNESS GUN",ADAM,HOPPER
"BLOOD ARGONAUTS",CATE,MCQUEEN
"BLOOD ARGONAUTS",ADAM,HOPPER
"BLOOD ARGONAUTS",LAURA,BRODY
"BLOOD ARGONAUTS",CUBA,BIRCH
"BLUES INSTINCT",CAMERON,STREEP
"BLUES INSTINCT",GROUCHO,DUNST
"BLUES INSTINCT",SALMA,NOLTE
"BLUES INSTINCT",MATTHEW,CARREY
"BOILED DARES",DAN,TORN
"BOILED DARES",TIM,HACKMAN
"BOILED DARES",NICK,STALLONE
"BOILED DARES",PENELOPE,PINKETT
"BOILED DARES",JIM,MOSTEL
"BOILED DARES",MORGAN,HOPKINS
"BOILED DARES",GREGORY,GOODING
"BOILED DARES",JULIA,FAWCETT
"BONNIE HOLOCAUST",JOHNNY,LOLLOBRIGIDA
"BONNIE HOLOCAUST",JULIA,MCQUEEN
"BONNIE HOLOCAUST",HENRY,BERRY
"BONNIE HOLOCAUST",MINNIE,ZELLWEGER
"BONNIE HOLOCAUST",SUSAN,DAVIS
"BONNIE HOLOCAUST",FRANCES,TOMEI
"BONNIE HOLOCAUST",FAY,WINSLET
"BONNIE HOLOCAUST",OPRAH,KILMER
"BONNIE HOLOCAUST",ED,GUINESS
"BOOGIE AMELIE",KEVIN,BLOOM
"BOOGIE AMELIE",JODIE,DEGENERES
"BOOGIE AMELIE",GROUCHO,SINATRA
"BOOGIE AMELIE",NICK,DEGENERES
"BOOGIE AMELIE",GENE,MCKELLEN
"BOOGIE AMELIE",MERYL,ALLEN
"BOONDOCK BALLROOM",ED,CHASE
"BOONDOCK BALLROOM",JENNIFER,DAVIS
"BOONDOCK BALLROOM",UMA,WOOD
"BOONDOCK BALLROOM",FRED,COSTNER
"BOONDOCK BALLROOM",KIRSTEN,PALTROW
"BOONDOCK BALLROOM",SANDRA,PECK
"BOONDOCK BALLROOM",DAN,HARRIS
"BOONDOCK BALLROOM",RAY,JOHANSSON
"BOONDOCK BALLROOM",KENNETH,PESCI
"BOONDOCK BALLROOM",CHRIS,BRIDGES
"BOONDOCK BALLROOM",WARREN,JACKMAN
"BOONDOCK BALLROOM",HUMPHREY,GARLAND
"BOONDOCK BALLROOM",AUDREY,BAILEY
"BORN SPINAL",KIRSTEN,PALTROW
"BORN SPINAL",SISSY,SOBIESKI
"BORN SPINAL",NICK,STALLONE
"BORN SPINAL",DUSTIN,TAUTOU
"BORN SPINAL",RAY,JOHANSSON
"BORN SPINAL",KENNETH,PALTROW
"BORN SPINAL",DAN,STREEP
"BORN SPINAL",RITA,REYNOLDS
"BORN SPINAL",MERYL,ALLEN
"BORROWERS BEDAZZLED",CUBA,OLIVIER
"BORROWERS BEDAZZLED",ELVIS,MARX
"BORROWERS BEDAZZLED",KIRK,JOVOVICH
"BORROWERS BEDAZZLED",SCARLETT,DAMON
"BORROWERS BEDAZZLED",DARYL,CRAWFORD
"BORROWERS BEDAZZLED",HARVEY,HOPE
"BORROWERS BEDAZZLED",JON,CHASE
"BOULEVARD MOB",RIP,CRAWFORD
"BOULEVARD MOB",AUDREY,OLIVIER
"BOULEVARD MOB",KIRSTEN,AKROYD
"BOULEVARD MOB",MORGAN,MCDORMAND
"BOULEVARD MOB",DAN,STREEP
"BOULEVARD MOB",EWAN,GOODING
"BOULEVARD MOB",ANGELA,WITHERSPOON
"BOULEVARD MOB",HARVEY,HOPE
"BOUND CHEAPER",KARL,BERRY
"BOUND CHEAPER",CUBA,OLIVIER
"BOWFINGER GABLES",KARL,BERRY
"BOWFINGER GABLES",CARMEN,HUNT
"BOWFINGER GABLES",MICHELLE,MCCONAUGHEY
"BOWFINGER GABLES",MINNIE,ZELLWEGER
"BOWFINGER GABLES",WILL,WILSON
"BRANNIGAN SUNRISE",RIP,CRAWFORD
"BRANNIGAN SUNRISE",KENNETH,HOFFMAN
"BRAVEHEART HUMAN",NICK,STALLONE
"BRAVEHEART HUMAN",KIRSTEN,AKROYD
"BRAVEHEART HUMAN",JANE,JACKMAN
"BRAVEHEART HUMAN",JAYNE,NOLTE
"BREAKFAST GOLDFINGER",ANGELINA,ASTAIRE
"BREAKFAST GOLDFINGER",RUSSELL,TEMPLE
"BREAKFAST GOLDFINGER",AL,GARLAND
"BREAKFAST GOLDFINGER",MICHAEL,BOLGER
"BREAKFAST GOLDFINGER",JULIA,ZELLWEGER
"BREAKING HOME",GRACE,MOSTEL
"BREAKING HOME",HELEN,VOIGHT
"BREAKING HOME",WOODY,HOFFMAN
"BREAKING HOME",CARMEN,HUNT
"BREAKING HOME",FRANCES,TOMEI
"BREAKING HOME",MORGAN,WILLIAMS
"BRIDE INTRIGUE",ANGELA,HUDSON
"BRIGHT ENCOUNTERS",CAMERON,ZELLWEGER
"BRIGHT ENCOUNTERS",ALBERT,NOLTE
"BRIGHT ENCOUNTERS",RENEE,BALL
"BRIGHT ENCOUNTERS",MERYL,ALLEN
"BRINGING HYSTERICAL",FRANCES,DAY-LEWIS
"BRINGING HYSTERICAL",ANGELA,WITHERSPOON
"BROOKLYN DESERT",JODIE,DEGENERES
"BROOKLYN DESERT",JAYNE,NEESON
"BROOKLYN DESERT",SEAN,GUINESS
"BROOKLYN DESERT",ALBERT,NOLTE
"BROOKLYN DESERT",GROUCHO,WILLIAMS
"BROTHERHOOD BLANKET",FRED,COSTNER
"BROTHERHOOD BLANKET",FRANCES,DAY-LEWIS
"BROTHERHOOD BLANKET",JUDE,CRUISE
"BROTHERHOOD BLANKET",JAYNE,NEESON
"BROTHERHOOD BLANKET",DARYL,CRAWFORD
"BUBBLE GROSSE",VIVIEN,BASINGER
